,s_2,s_3,s_4,s_6,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21,rul
0,643.86,1612.86,1393.95,21.6,554.62,2388.08,9145.19,47.65,521.64,2388.13,8199.43,8.57,398.99,38.96,23.41,63.97035523141178
1,643.23,1571.79,1396.64,21.6,554.84,2388.0,9111.08,47.07,519.2,2388.56,8142.23,8.46,398.07,38.93,23.11,93.6823033110202
2,643.33,1595.09,1411.49,21.61,551.67,2388.41,9139.12,48.14,520.57,2388.49,8154.84,8.42,397.69,39.33,22.94,40.23696750946113
3,644.36,1595.17,1387.35,21.6,553.97,2388.49,9099.48,46.96,518.78,2388.19,8112.17,8.39,399.65,39.3,23.51,116.2905717902257
4,642.1,1595.8,1404.48,21.61,553.03,2388.34,9140.2,46.92,520.74,2388.51,8280.31,8.51,391.41,39.09,23.36,70.26630008495533
5,642.39,1602.59,1392.08,21.6,555.32,2388.45,9095.35,47.23,522.88,2388.12,8233.0,8.57,395.06,38.99,23.52,90.10844085958537
6,642.67,1613.42,1405.85,21.61,554.1,2388.5,9129.26,47.21,523.15,2388.51,8128.55,8.55,395.69,38.7,23.34,106.7313079480828
7,642.14,1607.09,1400.46,21.6,551.25,2388.02,9083.29,47.78,520.64,2388.0,8275.66,8.35,389.51,38.78,23.44,63.33906438386265
8,644.48,1613.93,1422.8,21.6,554.51,2388.14,9087.29,47.24,521.43,2388.05,8129.47,8.52,389.51,39.16,23.01,84.53147286753222
9,643.68,1574.46,1438.53,21.6,553.09,2388.02,9075.23,48.19,522.13,2388.33,8287.4,8.49,397.12,38.26,22.99,34.77120427579371
10,642.94,1574.63,1386.39,21.6,552.72,2388.44,9149.5,48.12,518.93,2387.99,8293.72,8.38,398.68,38.3,23.62,50.710266729078675
11,641.39,1610.97,1386.53,21.6,555.58,2388.29,9061.93,47.12,520.53,2388.5,8258.78,8.42,394.63,38.89,23.22,110.55261008161884
12,643.49,1575.61,1413.7,21.61,551.74,2388.55,9150.31,48.32,522.2,2388.31,8106.8,8.52,398.0,39.33,23.53,58.79936926277508
13,643.97,1615.97,1426.31,21.61,555.96,2388.34,9132.55,47.13,522.58,2388.48,8114.86,8.49,390.98,38.95,23.06,88.96192827593313
14,643.54,1585.57,1401.73,21.6,550.31,2388.32,9071.57,47.94,521.09,2388.54,8154.21,8.47,396.63,38.29,23.24,54.38866975179654
15,643.18,1614.36,1408.96,21.6,555.11,2388.19,9022.45,47.43,521.5,2388.45,8145.26,8.5,393.8,38.76,23.12,108.99954525830104
16,643.57,1579.41,1419.09,21.6,552.42,2388.36,9171.92,47.92,520.32,2388.01,8217.97,8.49,396.77,38.56,23.43,26.385017127893423
17,641.88,1613.28,1422.81,21.61,551.45,2388.25,9041.26,47.29,522.8,2388.35,8118.1,8.35,392.34,38.88,23.32,123.31907953255768
18,643.42,1584.29,1428.21,21.6,551.9,2388.03,9241.11,46.86,522.57,2388.11,8136.41,8.44,399.5,39.33,23.45,100.89791156174415
19,643.53,1576.6,1422.88,21.6,554.66,2388.52,9225.93,48.3,519.64,2388.42,8206.14,8.4,398.86,39.31,23.53,43.80179139279095
20,642.86,1597.47,1391.89,21.6,555.22,2388.22,9125.06,48.28,521.02,2388.08,8134.9,8.5,396.73,38.32,23.33,65.00262896001082
21,642.84,1609.49,1425.15,21.6,551.23,2388.23,9048.75,47.08,520.38,2388.1,8280.52,8.56,395.47,39.22,23.49,61.398461093433774
22,642.86,1586.41,1405.61,21.61,553.63,2388.07,9055.43,46.97,519.2,2388.32,8170.4,8.4,391.98,38.26,23.2,101.7246268355436
23,644.31,1597.81,1397.98,21.61,554.58,2388.22,9056.78,48.33,521.62,2388.23,8140.22,8.47,393.11,39.21,23.18,105.40658993411147
24,642.02,1585.99,1425.46,21.61,555.97,2388.12,9221.76,47.08,520.62,2387.88,8251.72,8.53,391.52,38.29,23.52,62.991762648620636
25,643.6,1573.3,1408.85,21.61,554.25,2388.04,9127.34,48.3,519.13,2387.95,8174.14,8.4,395.89,39.18,22.99,50.50803628886713
26,641.38,1573.49,1409.37,21.61,554.15,2388.19,9048.28,47.84,521.4,2388.24,8215.25,8.42,391.65,39.29,23.24,102.30716004529256
27,641.77,1599.01,1413.4,21.61,553.55,2388.05,9206.66,46.97,519.15,2388.51,8132.81,8.45,390.71,39.21,23.1,87.8809471861228
28,642.4,1611.33,1402.64,21.61,553.94,2387.92,9079.11,48.16,521.63,2388.45,8159.65,8.38,390.38,38.93,22.97,77.78795353015985
29,643.45,1606.92,1424.87,21.6,552.34,2388.11,9118.45,47.24,520.5,2388.24,8129.92,8.47,388.17,38.63,23.17,51.38473011524242
30,642.22,1604.86,1397.68,21.61,553.28,2388.51,9174.61,48.21,521.96,2388.09,8225.1,8.33,394.4,39.23,23.34,66.98314081172273
31,643.34,1594.82,1405.99,21.6,554.31,2388.43,9172.79,47.11,518.84,2387.92,8232.82,8.37,395.43,39.04,23.31,77.84248404414033
32,641.21,1571.3,1400.33,21.6,553.92,2388.47,9062.1,47.42,521.82,2388.48,8226.54,8.41,398.62,38.38,23.01,106.73635151477498
33,642.88,1609.06,1422.28,21.61,551.04,2388.16,9179.08,48.31,521.26,2388.38,8280.64,8.39,399.12,38.85,23.57,44.85427950501136
34,642.85,1596.39,1437.88,21.61,554.91,2388.29,9168.19,48.52,523.08,2388.1,8269.36,8.48,395.65,39.12,23.46,49.5179312454474
35,643.85,1583.09,1418.05,21.6,550.89,2388.43,9214.52,48.32,521.81,2388.16,8218.53,8.48,395.75,38.83,23.0,27.689208895000423
36,643.13,1572.55,1423.77,21.61,555.02,2388.24,9046.83,47.67,521.08,2387.91,8257.75,8.42,395.65,38.72,23.0,63.63548317913453
37,642.58,1582.37,1406.35,21.6,554.31,2388.28,9202.9,47.83,520.79,2388.2,8292.78,8.34,388.89,38.97,23.33,68.11176456213988
38,641.95,1581.12,1419.59,21.61,554.43,2388.21,9119.47,48.28,523.16,2388.53,8274.16,8.52,392.0,38.83,23.05,43.783981309291505
39,642.8,1614.61,1409.87,21.61,555.86,2388.02,9123.81,48.16,522.28,2388.5,8149.85,8.52,399.56,38.57,23.19,56.14267131271848
40,643.07,1596.47,1419.11,21.6,552.82,2388.14,9167.45,48.39,519.68,2388.29,8267.64,8.35,392.48,38.4,23.36,37.9313657244524
41,643.18,1602.07,1417.58,21.6,553.33,2388.27,9075.8,46.88,520.3,2387.89,8278.93,8.48,397.25,39.28,23.57,61.4798140255234
42,641.78,1591.59,1411.14,21.61,553.82,2388.54,9056.35,47.34,522.83,2388.13,8274.23,8.52,393.71,38.49,23.58,104.4214799414363
43,641.62,1610.75,1419.17,21.61,555.59,2388.02,9084.64,47.13,519.64,2388.31,8134.09,8.36,390.73,39.36,22.9,88.82344793720729
44,641.74,1576.54,1409.61,21.61,555.53,2387.97,9158.62,46.97,520.54,2388.22,8184.54,8.4,390.93,39.32,23.3,87.63609289489244
45,641.84,1572.63,1407.83,21.61,554.53,2388.14,9244.14,46.91,521.15,2388.02,8228.18,8.51,391.93,39.29,23.36,81.5792094709333
46,642.34,1573.34,1427.67,21.61,554.19,2388.35,9223.24,47.38,522.22,2388.08,8256.78,8.37,395.09,38.21,22.97,62.50635474369373
47,641.73,1582.24,1390.32,21.61,550.21,2388.49,9232.44,46.94,523.03,2388.2,8149.74,8.48,390.03,38.89,23.24,105.36134273608135
48,643.92,1613.52,1413.44,21.61,554.38,2388.05,9080.6,47.91,521.21,2387.89,8280.45,8.42,390.47,38.81,23.18,57.35996367925602
49,642.23,1602.23,1420.47,21.6,551.52,2388.36,9095.92,47.21,522.25,2388.06,8232.4,8.33,398.14,39.24,23.33,71.20414789613606
50,642.28,1601.68,1413.46,21.61,551.4,2388.07,9038.05,47.71,522.86,2388.3,8202.84,8.54,399.51,39.09,23.14,66.2847042149429
51,642.41,1573.05,1383.66,21.6,552.88,2388.09,9179.57,48.23,521.07,2388.2,8115.1,8.37,393.8,39.33,22.93,81.69389681577583
52,641.49,1582.27,1424.39,21.61,550.43,2388.53,9215.05,47.13,520.92,2388.39,8250.6,8.33,394.94,39.09,23.43,66.87763472067148
53,644.27,1575.46,1428.91,21.61,550.48,2388.08,9075.07,48.21,519.14,2388.39,8153.66,8.37,399.25,39.12,22.96,29.60845163577226
54,644.47,1609.81,1402.48,21.61,552.68,2388.19,9167.49,47.39,521.51,2387.97,8115.69,8.42,389.64,38.99,22.98,96.21270597130861
55,644.13,1597.76,1394.74,21.61,553.13,2388.11,9231.94,48.14,519.26,2387.91,8199.72,8.43,390.54,38.72,23.01,43.29763191774922
56,642.23,1590.94,1382.57,21.61,550.63,2388.2,9040.49,48.16,522.38,2388.35,8276.32,8.55,388.75,38.2,23.28,71.36709134528851
57,641.8,1613.6,1388.74,21.6,553.55,2388.32,9177.81,47.76,520.6,2388.44,8211.88,8.56,390.66,39.16,23.17,48.01973164861437
58,642.48,1575.51,1430.11,21.6,554.49,2388.52,9211.0,48.25,522.04,2388.31,8199.96,8.49,394.03,38.89,23.38,54.140658304087474
59,641.31,1605.72,1417.78,21.6,550.74,2388.03,9194.98,48.27,522.14,2388.01,8229.13,8.41,389.27,39.29,22.97,46.26138198467476
60,642.8,1583.44,1394.08,21.6,553.93,2388.53,9071.19,47.7,522.34,2388.52,8127.48,8.4,394.73,38.97,23.53,133.92170195981564
61,641.98,1601.96,1419.53,21.61,554.9,2388.41,9028.07,47.84,521.59,2388.4,8250.01,8.4,388.92,39.28,23.02,80.53215652930815
62,641.8,1587.54,1408.5,21.6,553.87,2387.97,9094.32,48.31,521.54,2387.95,8256.09,8.52,392.79,38.61,23.18,52.08556977385104
63,642.11,1598.55,1386.29,21.61,552.53,2388.48,9172.13,47.62,520.9,2388.08,8143.43,8.39,394.92,38.53,22.99,76.0234667130547
64,643.7,1593.06,1411.03,21.6,555.18,2387.99,9087.07,47.16,518.7,2388.49,8155.89,8.54,395.81,39.03,23.02,67.27140670420569
65,641.36,1615.06,1428.16,21.6,555.2,2388.04,9243.3,47.75,521.82,2388.2,8260.5,8.56,396.54,38.66,23.03,32.88639067633813
66,643.99,1578.14,1422.16,21.6,552.01,2388.25,9123.63,47.93,522.05,2388.19,8204.8,8.33,391.22,38.39,23.4,48.706568158570896
67,642.68,1581.88,1420.94,21.6,552.02,2388.24,9116.76,47.43,518.93,2387.94,8256.78,8.55,399.84,38.81,23.1,39.091726792559534
68,641.81,1587.52,1408.26,21.61,554.09,2388.42,9107.82,47.09,520.69,2387.95,8216.29,8.58,389.31,39.26,23.01,65.0456120954184
69,643.87,1585.41,1405.69,21.6,553.16,2388.39,9237.91,48.46,519.11,2387.89,8110.22,8.56,398.79,38.19,23.2,46.06040167631898
70,641.82,1581.12,1428.36,21.61,550.31,2388.2,9112.87,47.62,521.51,2388.45,8209.1,8.38,397.64,39.01,22.95,54.63904099686309
71,644.41,1592.84,1405.03,21.6,555.63,2388.51,9044.74,48.36,522.8,2388.01,8278.49,8.57,389.08,39.2,23.6,106.87268744086923
72,642.9,1571.26,1393.4,21.6,553.75,2388.07,9188.58,46.91,522.08,2388.12,8268.92,8.4,394.63,39.01,23.59,93.58194578973571
73,643.28,1600.3,1407.89,21.6,556.04,2388.14,9227.97,47.02,519.93,2388.42,8156.34,8.37,396.76,38.63,22.9,67.31537444960851
74,643.53,1611.84,1382.94,21.61,550.95,2388.32,9054.76,48.4,521.86,2388.47,8153.4,8.47,389.86,39.21,23.06,75.89727946091585
75,641.58,1591.8,1433.24,21.61,552.71,2388.47,9224.42,47.5,523.17,2388.0,8136.31,8.39,392.32,39.32,23.35,95.53174539638556
76,642.43,1599.27,1412.9,21.6,552.97,2388.36,9025.74,47.94,521.6,2388.35,8200.73,8.56,390.9,39.01,23.42,76.59358514501955
77,642.75,1607.2,1392.72,21.6,551.92,2388.32,9062.29,47.26,518.81,2387.97,8180.87,8.38,392.62,39.14,22.99,98.1419543506344
78,641.25,1577.69,1426.39,21.61,553.1,2388.06,9071.79,47.76,522.9,2388.45,8145.56,8.43,396.87,38.76,22.96,72.70179945049004
79,642.75,1614.21,1434.42,21.61,551.5,2388.04,9083.69,47.6,520.84,2388.09,8213.6,8.55,394.18,39.39,23.37,47.28240234934521
80,643.35,1616.22,1429.57,21.6,553.05,2388.11,9163.62,48.09,522.74,2388.24,8213.16,8.35,399.41,38.56,23.31,42.87863761235676
81,641.35,1607.15,1412.92,21.61,552.5,2388.42,9052.67,48.03,519.78,2388.29,8101.47,8.54,393.68,38.81,23.47,47.62989267718148
82,641.63,1578.71,1428.21,21.61,553.31,2388.09,9076.99,47.18,518.84,2387.96,8240.87,8.48,390.54,39.01,23.57,72.80871853622799
83,643.83,1604.14,1425.31,21.6,553.86,2388.0,9041.82,48.17,522.72,2388.1,8173.89,8.55,389.7,39.24,23.18,63.60852312840283
84,644.31,1616.06,1415.26,21.61,555.48,2387.98,9021.74,47.11,520.13,2387.9,8151.7,8.33,395.77,38.76,23.41,107.82887492233527
85,643.16,1583.29,1408.0,21.6,553.41,2387.95,9126.07,47.96,522.75,2388.1,8291.0,8.39,390.34,38.3,22.97,57.724381777939755
86,643.15,1573.81,1387.14,21.6,554.63,2388.55,9078.89,48.14,519.37,2388.26,8255.11,8.43,395.19,38.72,23.54,63.6414408839304
87,642.25,1572.67,1391.58,21.61,552.02,2388.38,9206.17,48.22,520.54,2388.35,8128.11,8.42,399.27,38.58,23.26,64.15930848045039
88,641.34,1613.48,1415.9,21.6,550.27,2388.12,9046.74,47.39,519.19,2388.05,8272.08,8.56,396.02,38.77,23.15,53.39858599770953
89,643.06,1607.74,1405.41,21.61,553.25,2388.39,9121.32,47.48,521.31,2388.45,8113.01,8.51,390.65,38.15,22.93,79.38277874759441
90,643.63,1573.17,1439.67,21.6,550.9,2387.92,9162.92,47.32,520.38,2388.38,8204.2,8.39,395.76,38.41,23.43,56.35692204934351
91,641.22,1606.13,1414.06,21.6,552.84,2387.96,9051.49,48.41,520.84,2388.35,8248.92,8.46,392.74,39.42,23.28,58.26558330135113
92,642.67,1603.96,1416.6,21.6,549.94,2388.39,9120.95,47.94,518.83,2388.43,8175.02,8.47,388.66,38.18,23.46,31.698105684707926
93,643.84,1572.71,1414.21,21.6,552.52,2387.91,9113.93,47.8,523.14,2388.47,8149.34,8.51,392.8,38.98,23.41,62.443611957023165
94,644.31,1575.14,1407.41,21.61,552.94,2388.19,9080.09,48.43,519.1,2388.08,8245.13,8.45,398.33,39.18,23.26,52.590557911873155
95,643.32,1598.42,1414.53,21.6,555.6,2388.54,9065.31,47.42,521.21,2387.98,8141.24,8.53,398.34,38.93,23.21,91.89084340241381
96,643.1,1596.1,1413.78,21.61,550.22,2387.92,9118.11,47.39,523.25,2388.23,8218.78,8.51,399.92,38.75,23.28,48.169405331918306
97,642.87,1576.04,1389.59,21.6,551.61,2387.93,9026.38,47.66,520.52,2388.26,8220.8,8.48,392.21,38.77,23.05,63.11208688893387
98,643.85,1573.53,1427.43,21.6,550.15,2388.44,9101.1,47.66,519.36,2388.1,8293.57,8.52,388.62,39.42,23.06,29.09278308383713
99,643.13,1593.69,1402.34,21.61,553.2,2388.31,9189.53,47.79,519.17,2387.98,8123.11,8.51,396.96,38.75,23.05,49.225923378047376
100,644.41,1583.18,1398.0,21.61,553.52,2388.11,9143.77,48.44,522.41,2388.35,8153.45,8.53,393.36,38.56,23.46,78.11522140505068
101,643.46,1612.62,1398.79,21.6,553.63,2388.44,9164.07,47.46,520.47,2388.38,8197.86,8.45,393.61,38.47,23.6,66.60757838177769
102,643.46,1580.91,1396.19,21.61,555.69,2388.45,9079.29,47.67,522.31,2387.92,8134.62,8.34,398.14,38.95,23.17,110.824753606948
103,643.3,1584.9,1399.02,21.61,551.82,2388.49,9184.17,48.46,519.88,2387.95,8235.15,8.52,395.31,38.35,22.9,24.61190885760081
104,643.14,1609.75,1395.69,21.61,554.75,2388.01,9164.63,46.93,521.77,2388.16,8119.1,8.54,393.55,39.36,23.23,109.9001418085847
105,644.0,1597.38,1427.44,21.6,552.85,2387.95,9025.03,47.21,518.87,2388.06,8162.33,8.52,388.35,39.34,23.55,72.0346623435442
106,641.35,1594.5,1426.33,21.6,551.88,2388.25,9118.72,48.48,521.41,2387.94,8173.92,8.5,399.12,39.23,23.34,36.10744108474429
107,642.49,1602.41,1393.89,21.6,554.86,2388.35,9073.14,48.23,522.88,2388.06,8117.45,8.38,388.04,38.29,23.0,110.33432857934017
108,644.21,1578.39,1421.2,21.61,552.51,2388.55,9061.87,48.3,523.16,2388.4,8284.85,8.41,393.26,39.28,23.02,58.6486635940121
109,641.41,1583.32,1433.32,21.6,552.44,2388.34,9230.49,47.94,520.99,2388.44,8277.49,8.48,388.53,39.33,23.4,42.20450544797557
110,641.84,1608.79,1433.17,21.61,552.77,2388.09,9207.2,47.94,519.39,2388.41,8179.39,8.35,389.42,39.23,23.61,42.85138676361571
111,642.19,1612.69,1397.21,21.6,550.87,2388.34,9206.05,47.02,520.18,2388.1,8280.35,8.39,398.76,39.4,23.01,69.42288906463095
112,643.19,1578.65,1440.12,21.6,549.94,2388.2,9187.23,48.27,519.15,2388.49,8222.1,8.46,399.96,39.11,23.15,21.241389865028683
113,644.47,1573.1,1397.87,21.6,551.11,2388.18,9223.32,46.9,521.17,2388.03,8167.24,8.44,393.49,38.45,23.21,63.23410543858343
114,643.24,1609.56,1417.91,21.61,551.68,2388.31,9029.53,46.91,520.86,2387.97,8280.28,8.35,395.68,39.34,23.5,82.85716545029925
115,644.52,1612.77,1434.74,21.6,550.75,2387.96,9174.96,46.93,519.25,2388.03,8152.55,8.45,396.14,39.08,23.41,67.97555022398592
116,641.59,1586.62,1414.91,21.61,555.61,2388.46,9095.76,48.47,522.84,2388.42,8118.39,8.54,398.64,39.09,23.43,80.73065964764567
117,643.63,1604.57,1420.91,21.61,556.0,2388.43,9178.49,47.99,522.66,2388.44,8273.37,8.36,391.49,38.88,23.51,63.083500778293526
118,641.22,1602.57,1393.23,21.61,552.36,2387.97,9110.99,48.09,519.04,2388.07,8202.64,8.37,389.2,38.68,23.55,54.99774340669244
119,644.01,1577.67,1419.99,21.6,554.56,2388.31,9086.93,47.63,520.12,2387.97,8155.24,8.38,391.06,38.88,23.45,71.14975317856805
120,641.54,1597.61,1409.52,21.6,550.68,2388.47,9110.67,47.75,521.5,2388.2,8258.59,8.36,395.75,39.33,23.29,57.94913310486159
121,643.04,1606.0,1423.17,21.6,551.45,2388.2,9203.56,47.77,522.96,2387.96,8233.37,8.38,391.85,39.36,23.45,55.698193121514436
122,641.52,1573.07,1403.09,21.61,551.9,2388.22,9114.87,48.08,518.78,2387.89,8139.51,8.54,389.76,39.24,23.44,60.066315568815206
123,643.51,1589.45,1412.96,21.6,553.51,2388.41,9207.39,47.53,520.22,2388.39,8202.01,8.33,399.28,39.23,23.59,60.95762578954253
124,643.58,1614.22,1382.45,21.6,552.93,2388.12,9144.14,48.38,518.99,2388.27,8280.32,8.39,392.86,38.24,22.98,42.68014947923836
125,641.75,1606.42,1412.97,21.61,550.81,2387.97,9123.39,48.51,521.1,2388.41,8241.81,8.34,397.58,39.01,23.54,51.44716045085228
126,643.73,1588.68,1431.43,21.61,552.64,2388.11,9042.88,48.53,519.81,2387.99,8209.61,8.37,393.11,39.39,23.07,41.21620031983487
127,643.01,1577.11,1383.37,21.6,554.89,2388.01,9059.7,47.3,519.45,2388.35,8109.9,8.56,396.71,39.24,23.3,131.416987762996
128,643.25,1598.9,1438.6,21.6,552.14,2388.16,9193.47,47.63,520.56,2387.89,8220.41,8.58,390.15,38.2,23.57,38.88167540751621
129,642.63,1598.14,1386.26,21.6,553.9,2388.48,9159.92,48.23,519.39,2388.41,8198.34,8.38,396.13,38.44,22.93,48.779188364679776
130,642.02,1609.98,1421.16,21.6,551.68,2387.92,9154.44,46.96,520.98,2388.56,8114.29,8.35,399.5,38.47,23.01,62.00188781514509
131,644.18,1602.24,1426.61,21.61,550.63,2388.16,9209.13,48.1,519.74,2388.55,8202.39,8.52,390.27,38.41,23.59,18.306518707623518
132,642.0,1591.69,1430.52,21.61,553.86,2387.97,9226.87,47.25,519.5,2388.16,8145.42,8.39,394.24,38.39,23.26,80.29683861371733
133,643.46,1574.99,1392.97,21.6,550.14,2388.1,9206.19,48.34,518.94,2387.92,8269.9,8.48,397.41,38.22,23.46,38.483504554615195
134,643.7,1584.99,1396.34,21.61,551.09,2388.48,9171.77,47.05,519.27,2388.46,8202.43,8.42,389.13,38.2,23.29,73.29850853603962
135,643.18,1604.35,1420.03,21.61,550.8,2388.35,9040.13,48.5,521.38,2387.97,8106.18,8.44,396.61,39.19,23.27,67.55468194680037
136,642.89,1596.99,1430.81,21.61,550.66,2387.91,9161.26,48.2,519.34,2388.39,8225.91,8.5,389.31,39.1,23.41,25.935899490627463
137,643.4,1586.59,1408.45,21.6,550.56,2388.29,9240.91,47.18,521.39,2388.26,8164.41,8.48,388.07,38.2,23.2,55.520531186228254
138,642.94,1596.49,1440.84,21.6,551.7,2387.98,9102.1,48.4,523.02,2388.22,8230.57,8.47,390.0,39.15,23.12,34.19270268317248
139,644.14,1591.42,1421.1,21.6,554.46,2388.41,9226.78,48.07,523.23,2388.22,8154.75,8.4,389.23,38.51,23.15,52.67354304153085
140,642.96,1608.23,1435.87,21.61,550.8,2388.03,9163.1,47.71,519.28,2388.26,8102.32,8.53,389.56,38.37,23.32,41.30567206429587
141,642.69,1573.89,1383.94,21.6,552.25,2388.41,9216.25,47.37,521.03,2388.45,8255.48,8.53,389.69,39.31,22.94,63.59878566102891
142,642.84,1590.83,1434.42,21.6,555.73,2387.92,9155.17,47.83,521.25,2388.37,8126.66,8.47,394.31,38.49,23.43,65.76385998619047
143,641.58,1603.8,1429.62,21.6,554.92,2388.02,9224.59,48.01,521.01,2388.16,8202.63,8.4,390.27,39.01,23.04,45.788488344887554
144,642.07,1578.45,1419.79,21.6,553.31,2388.28,9060.34,47.11,519.45,2388.37,8270.78,8.4,391.33,38.67,23.3,89.49114592638547
145,641.26,1594.79,1398.89,21.61,553.93,2387.96,9022.2,47.8,522.38,2388.22,8288.92,8.41,397.52,38.35,23.61,111.39865154993008
146,644.52,1590.49,1391.08,21.61,553.35,2388.37,9068.47,48.09,522.74,2388.13,8188.43,8.52,396.04,39.09,23.0,74.63987740067013
147,642.0,1605.44,1421.94,21.61,553.36,2388.12,9158.76,47.8,522.88,2388.15,8112.29,8.55,396.63,39.25,22.92,53.3108455891035
148,643.56,1610.16,1409.33,21.61,552.85,2387.91,9146.96,48.01,522.25,2388.17,8112.14,8.38,390.03,39.09,23.58,88.25655346018837
149,642.28,1615.5,1423.69,21.61,552.87,2388.07,9092.5,47.02,522.59,2388.02,8197.49,8.56,388.95,38.43,23.44,62.04607690375353
150,641.58,1613.64,1418.14,21.61,554.72,2387.96,9153.33,47.43,522.35,2388.12,8249.28,8.54,394.77,39.35,23.31,61.668126806390056
151,642.91,1583.01,1414.56,21.6,551.42,2387.92,9128.23,47.81,519.32,2388.09,8251.17,8.49,390.47,39.25,23.52,40.140428469370335
152,644.39,1615.63,1428.92,21.61,553.21,2388.28,9167.22,47.07,522.99,2388.17,8193.13,8.5,391.32,38.2,23.35,59.094929504718465
153,644.04,1596.65,1434.92,21.6,554.64,2387.99,9117.5,47.27,522.02,2388.26,8208.31,8.45,390.4,39.13,23.15,63.3767030560015
154,641.41,1604.24,1401.38,21.61,551.64,2388.47,9115.06,48.43,523.36,2388.11,8172.49,8.45,388.3,38.98,23.27,60.59757827711071
155,643.38,1594.12,1387.01,21.61,555.44,2388.46,9174.04,47.41,519.16,2388.15,8273.16,8.5,398.63,38.26,23.2,52.569450174843766
156,641.99,1578.08,1391.09,21.61,549.85,2388.19,9116.17,47.55,520.47,2388.17,8246.38,8.52,398.77,39.15,23.19,57.16812950581687
157,642.6,1590.93,1436.0,21.61,555.91,2388.43,9100.14,47.96,519.34,2388.19,8110.34,8.33,389.36,39.35,22.99,54.96339511848207
158,643.0,1579.09,1398.85,21.61,554.41,2388.09,9049.68,47.12,521.97,2388.22,8212.1,8.44,391.09,38.75,23.07,118.79417122179922
159,643.41,1612.14,1421.93,21.61,552.31,2388.33,9105.83,48.11,520.12,2388.23,8138.86,8.42,394.59,38.55,23.11,22.0080638763275
