,s_2,s_3,s_4,s_6,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21,rul
160,643.45,1610.15,1410.29,21.61,553.21,2388.04,9074.44,47.97,520.41,2388.52,8132.93,8.57,392.7,38.69,23.2,50.17433773221066
161,643.29,1575.16,1401.09,21.6,553.94,2388.37,9231.96,46.91,520.86,2388.05,8207.04,8.5,395.29,38.27,23.6,68.61678094529051
162,644.21,1606.7,1431.39,21.6,554.4,2388.14,9152.44,48.48,518.86,2388.53,8275.54,8.38,398.79,38.52,23.35,36.42536713011918
163,642.28,1613.51,1425.13,21.61,551.24,2388.15,9100.39,47.13,520.66,2388.43,8180.39,8.58,393.73,38.17,22.95,37.24528811988253
164,642.72,1613.57,1432.68,21.6,551.75,2388.29,9167.55,48.35,521.29,2388.35,8263.75,8.44,398.75,39.1,23.44,44.08940899530516
165,642.97,1574.02,1422.79,21.6,554.22,2388.5,9163.68,46.95,519.04,2387.92,8268.89,8.45,388.34,38.59,23.26,60.073462712230985
166,641.55,1607.94,1408.27,21.61,550.4,2388.39,9141.67,48.1,521.68,2387.94,8183.89,8.45,394.64,38.56,23.06,42.41000178998045
167,642.24,1610.46,1399.51,21.61,550.55,2388.56,9223.12,48.11,518.93,2388.55,8256.26,8.57,393.61,39.22,23.09,33.601595367056476
168,644.46,1614.06,1386.88,21.6,555.39,2388.01,9058.2,47.57,522.96,2388.42,8201.15,8.41,391.39,38.24,23.38,120.17100058980806
169,642.9,1588.79,1413.77,21.61,552.23,2388.33,9199.02,47.33,520.55,2388.46,8151.24,8.38,397.26,39.09,22.92,69.0581971107015
170,641.36,1603.71,1440.04,21.6,550.67,2388.47,9086.54,47.35,520.08,2388.02,8118.42,8.54,394.53,38.63,23.54,58.2263339650024
171,641.93,1611.72,1398.92,21.61,554.12,2388.34,9109.72,47.66,523.15,2388.42,8163.93,8.38,399.91,38.27,23.58,77.30956228633761
172,641.31,1577.8,1421.38,21.6,551.53,2388.42,9216.27,47.79,519.1,2388.0,8247.79,8.37,399.86,38.54,23.3,38.067173564848964
173,644.14,1595.12,1408.71,21.6,551.55,2387.99,9206.42,47.97,521.58,2388.41,8189.01,8.57,399.94,38.72,22.93,32.36094179583372
174,644.34,1593.19,1393.85,21.61,552.89,2388.21,9109.93,47.46,518.82,2388.21,8202.89,8.53,395.97,38.81,22.97,50.49177412379752
175,641.95,1589.52,1419.22,21.61,553.37,2388.49,9201.05,47.52,521.35,2388.17,8133.97,8.33,392.41,38.36,23.24,86.61440002239755
176,642.59,1576.28,1439.27,21.61,554.31,2388.2,9039.14,47.04,522.5,2387.95,8215.53,8.41,398.78,38.48,23.52,114.30281293268692
177,644.52,1593.3,1398.06,21.61,550.82,2388.45,9137.72,48.46,519.77,2387.94,8173.9,8.43,389.38,39.11,23.31,51.18411870296213
178,643.19,1578.58,1423.18,21.61,554.67,2388.17,9023.71,48.28,521.14,2388.44,8286.1,8.36,389.99,39.25,23.17,70.85752239490746
179,641.31,1610.36,1433.55,21.6,552.83,2387.91,9050.92,48.53,523.3,2388.13,8116.95,8.42,397.2,38.4,22.98,67.07231993903288
180,642.35,1607.66,1398.71,21.6,552.06,2387.94,9120.59,47.46,522.95,2388.54,8136.09,8.55,389.04,38.59,23.42,106.24809866195082
181,642.76,1588.58,1416.87,21.6,554.07,2387.94,9100.93,48.21,518.99,2388.11,8133.15,8.36,396.44,39.35,23.15,56.6532516575061
182,643.92,1583.96,1391.29,21.6,551.81,2388.24,9054.73,48.13,522.79,2387.92,8240.73,8.34,399.08,39.19,23.19,87.07900085393638
183,643.37,1583.91,1429.33,21.6,553.66,2388.21,9088.28,48.48,520.02,2388.13,8159.53,8.44,394.15,38.15,23.18,34.78254826309474
184,644.09,1608.99,1422.28,21.6,555.57,2388.55,9139.42,46.97,522.21,2388.15,8124.22,8.45,393.53,38.2,23.11,78.60310124140773
185,644.11,1603.12,1416.11,21.61,555.65,2388.02,9053.43,47.24,519.41,2388.17,8215.21,8.44,398.59,38.28,23.24,70.33011160720572
186,642.13,1615.76,1400.01,21.61,556.03,2388.05,9232.02,47.73,520.06,2388.35,8278.97,8.43,390.08,38.64,23.23,57.404053266597394
187,642.75,1582.89,1392.0,21.6,555.6,2387.97,9071.02,46.97,520.25,2388.14,8195.93,8.57,398.05,38.63,22.92,79.15717559271681
188,642.24,1601.03,1382.8,21.61,553.61,2387.9,9207.0,47.77,521.16,2387.96,8147.28,8.44,394.47,38.68,23.5,81.12241165906639
189,641.23,1611.48,1387.8,21.6,555.55,2387.91,9081.58,47.08,519.11,2388.29,8199.56,8.48,394.33,38.59,23.59,80.71694523492916
190,643.07,1601.38,1418.74,21.61,551.53,2388.05,9149.86,47.02,522.3,2387.95,8143.61,8.33,394.62,39.13,23.21,85.54218916557052
191,642.5,1606.35,1400.84,21.6,555.68,2388.05,9133.42,47.2,520.42,2388.28,8256.61,8.55,390.1,38.57,23.06,59.399838037159924
192,641.66,1612.2,1435.39,21.61,552.76,2388.01,9238.88,46.92,519.96,2388.39,8128.0,8.45,397.12,39.04,23.08,63.811571440555
193,641.85,1574.87,1384.08,21.61,553.35,2388.54,9186.14,46.96,519.53,2387.95,8227.04,8.58,399.9,39.21,23.13,63.54027680063079
194,641.96,1615.43,1395.29,21.6,554.32,2388.35,9086.82,48.02,522.12,2388.26,8185.23,8.55,388.71,38.4,23.31,63.873263954316656
195,642.27,1589.07,1421.16,21.6,555.44,2388.05,9093.39,47.92,520.04,2388.22,8244.24,8.57,393.84,39.09,23.45,43.55758332795661
196,643.9,1615.21,1426.16,21.6,550.39,2388.2,9181.77,47.49,519.43,2388.19,8282.43,8.48,391.92,38.14,23.47,39.448879537697565
197,644.2,1585.76,1393.52,21.61,554.02,2387.96,9195.15,48.52,522.1,2387.92,8195.57,8.45,388.09,39.4,23.04,59.969953216531884
198,643.8,1607.27,1392.36,21.61,554.94,2388.07,9241.08,47.75,521.67,2387.98,8291.32,8.48,396.86,38.55,23.31,52.59097785473069
199,642.99,1580.88,1435.55,21.61,554.64,2388.28,9203.45,47.77,521.34,2388.25,8219.02,8.34,388.17,38.94,22.92,51.88616379450368
200,641.95,1589.55,1431.36,21.6,555.6,2388.33,9166.5,48.38,519.56,2388.07,8109.86,8.37,398.37,39.16,23.25,57.275592195011455
201,642.68,1585.93,1423.86,21.6,550.16,2388.21,9225.44,48.3,518.8,2388.21,8178.99,8.49,394.46,38.68,23.08,17.885021120543392
202,643.13,1600.55,1421.55,21.6,550.07,2388.29,9033.91,48.0,521.03,2388.04,8288.11,8.47,392.97,39.22,23.14,36.51975031878854
203,644.21,1583.77,1421.62,21.61,553.7,2388.37,9039.22,47.75,521.41,2387.95,8102.53,8.58,396.88,38.85,23.19,77.03742711908417
204,644.53,1576.94,1385.43,21.61,553.17,2387.96,9077.99,47.84,522.32,2388.39,8260.81,8.52,391.63,38.46,23.31,65.83696177792821
205,643.34,1577.77,1433.08,21.6,554.52,2388.22,9026.59,48.24,518.75,2388.29,8280.45,8.33,395.09,39.01,23.31,58.70730402844304
206,641.21,1601.81,1424.03,21.6,551.92,2388.06,9053.74,47.83,522.58,2388.5,8165.48,8.5,395.96,38.97,23.55,56.967834212045545
207,642.02,1584.04,1385.27,21.6,553.52,2388.43,9150.92,47.88,521.65,2388.28,8141.48,8.47,395.4,39.18,23.06,75.93801559284698
208,641.85,1608.0,1435.89,21.61,555.19,2388.06,9052.76,46.86,522.56,2388.54,8278.57,8.37,395.55,38.89,23.48,120.48807305929013
209,642.98,1609.07,1387.46,21.61,555.63,2388.35,9107.84,47.71,520.05,2387.89,8119.71,8.46,394.98,39.07,23.12,74.14049547693728
210,643.92,1612.9,1389.1,21.61,554.89,2388.54,9235.99,48.45,523.28,2388.42,8278.19,8.56,399.41,38.85,23.25,48.5360926347395
211,643.72,1574.8,1400.95,21.61,553.99,2388.06,9137.97,46.94,522.24,2388.43,8113.66,8.55,391.8,38.98,23.31,120.12636484813721
212,643.29,1592.57,1411.31,21.61,551.04,2388.1,9181.73,47.11,519.88,2388.35,8282.08,8.37,395.19,39.29,23.42,69.49597097602826
213,641.5,1600.68,1429.86,21.6,552.89,2388.21,9166.15,46.87,521.14,2388.16,8259.42,8.48,391.17,38.32,23.07,44.580514158273665
214,644.0,1606.19,1424.61,21.6,553.01,2388.5,9163.14,47.23,518.97,2388.48,8279.01,8.58,388.73,38.81,23.54,52.600245243836135
215,643.81,1598.98,1414.02,21.61,549.92,2387.92,9034.21,47.96,518.86,2388.27,8112.25,8.55,390.05,38.56,23.62,33.302488715999274
216,642.59,1578.79,1427.62,21.6,552.96,2388.08,9030.25,47.08,521.04,2387.95,8104.48,8.44,389.17,38.25,23.58,116.9245160599471
217,644.49,1610.81,1415.26,21.61,552.66,2388.27,9144.12,47.71,519.75,2388.28,8116.85,8.4,393.35,38.47,23.34,53.95354293530626
218,642.69,1601.99,1428.83,21.6,554.86,2388.09,9129.89,48.27,520.67,2388.55,8282.56,8.44,392.93,38.19,23.28,40.35418914400473
219,642.4,1572.27,1405.82,21.61,553.27,2388.46,9129.74,47.02,520.38,2388.36,8232.74,8.44,388.02,38.31,23.41,75.58408811567362
220,643.26,1597.46,1404.79,21.6,554.74,2388.02,9176.07,47.31,518.84,2387.96,8150.01,8.58,394.75,39.0,22.9,71.94063575386802
221,641.52,1572.37,1384.64,21.6,555.72,2388.29,9098.02,47.57,521.93,2388.36,8127.38,8.42,389.8,38.32,23.26,112.64863748014606
222,644.05,1605.98,1387.11,21.6,550.89,2388.47,9116.11,48.29,519.35,2388.19,8288.87,8.43,393.15,38.83,22.94,40.65022872989395
223,642.68,1599.97,1388.06,21.6,550.61,2387.93,9038.16,47.63,520.91,2388.4,8132.3,8.48,389.67,38.55,23.44,97.05709161605935
224,643.35,1578.98,1413.08,21.61,552.39,2388.35,9154.67,48.25,521.25,2388.38,8155.81,8.46,389.64,39.07,22.94,45.47830227237942
225,641.89,1578.39,1423.1,21.6,553.85,2388.44,9099.26,48.05,519.98,2388.44,8193.12,8.44,393.26,38.94,23.44,48.09254652609414
226,641.86,1583.22,1437.54,21.61,556.02,2388.13,9111.84,47.84,519.52,2388.53,8163.34,8.45,393.67,38.74,23.03,40.29684346047377
227,642.97,1601.78,1402.53,21.6,555.9,2388.55,9028.87,47.39,521.99,2388.09,8127.87,8.37,397.01,38.89,23.48,163.37800368213036
228,642.91,1606.76,1386.34,21.6,552.93,2387.94,9197.2,48.36,521.75,2388.54,8264.85,8.58,393.14,38.56,23.22,43.695569529170186
229,643.24,1610.21,1388.97,21.61,550.31,2387.96,9230.75,47.03,520.61,2388.32,8180.26,8.47,397.89,38.35,22.99,46.547411435762235
230,643.29,1602.07,1436.44,21.61,550.6,2388.17,9190.87,48.38,520.15,2388.16,8268.84,8.37,392.68,38.53,23.25,25.65785874722108
231,643.98,1612.77,1402.34,21.61,555.2,2388.17,9029.31,48.19,521.13,2388.18,8185.29,8.57,399.97,38.48,22.97,67.7193451886782
232,641.65,1611.96,1428.24,21.6,553.51,2388.49,9123.95,47.43,522.47,2388.4,8246.95,8.5,399.18,38.33,23.6,56.58949151420572
233,642.59,1616.07,1434.74,21.61,555.61,2388.39,9059.43,48.47,521.26,2388.35,8178.57,8.58,395.48,38.66,23.08,40.112637556941905
234,643.61,1595.65,1390.85,21.6,553.48,2388.38,9110.16,46.92,519.07,2388.02,8257.45,8.54,398.54,39.1,23.61,71.84299663186488
235,644.05,1578.42,1439.75,21.61,555.54,2388.49,9130.78,46.99,522.73,2387.91,8250.12,8.39,388.31,38.65,23.38,81.9059461301756
236,642.14,1576.65,1394.48,21.6,553.71,2388.42,9056.93,46.88,522.6,2388.04,8142.7,8.49,388.96,38.27,23.18,142.52584678942242
237,641.44,1614.82,1414.97,21.6,554.17,2388.21,9230.87,47.16,521.29,2388.42,8142.99,8.41,388.79,38.46,23.42,104.91458522203034
238,643.65,1595.21,1432.65,21.61,555.75,2388.21,9185.13,47.03,521.0,2388.27,8167.48,8.51,390.57,38.69,23.48,58.61308334491851
239,643.22,1593.88,1427.62,21.6,553.19,2388.2,9161.52,47.65,521.72,2388.0,8153.3,8.55,394.14,38.58,22.98,45.32046341377606
240,642.01,1574.57,1420.37,21.6,549.97,2388.29,9147.47,48.11,521.99,2387.92,8161.91,8.34,397.22,38.83,23.24,50.54206501820835
241,643.13,1577.46,1440.2,21.6,551.7,2388.24,9201.57,48.4,523.34,2388.19,8120.79,8.39,391.86,38.94,23.33,63.73921562076455
242,642.66,1610.5,1422.86,21.6,555.76,2388.37,9172.36,47.72,520.83,2388.14,8210.7,8.53,393.17,38.58,23.12,33.893271254120144
243,644.23,1613.2,1408.98,21.61,551.49,2388.39,9112.01,46.97,521.86,2388.15,8201.65,8.53,395.97,39.23,23.19,58.14485054662385
244,642.12,1584.11,1397.79,21.61,552.13,2388.04,9169.5,46.92,522.11,2387.96,8181.61,8.4,398.77,39.24,23.36,87.7111013643949
245,641.9,1606.05,1415.43,21.61,553.9,2388.44,9112.85,46.95,522.89,2387.94,8188.01,8.43,398.4,38.29,23.09,55.92198039584906
246,642.1,1589.0,1415.0,21.61,552.02,2388.51,9187.73,46.87,523.2,2388.2,8125.72,8.42,397.31,38.18,23.06,82.56348033531057
247,642.59,1581.98,1441.4,21.61,555.43,2388.33,9200.48,47.37,522.01,2388.36,8175.62,8.37,389.44,38.47,23.1,68.85901552758217
248,642.5,1595.14,1422.13,21.61,550.2,2387.92,9213.46,48.2,518.86,2388.44,8153.37,8.37,390.47,38.21,23.04,28.814658938582717
249,642.67,1592.54,1408.16,21.6,552.62,2388.12,9041.85,47.27,521.7,2388.42,8283.39,8.33,399.54,38.23,23.1,94.15061930046306
250,642.02,1591.89,1430.52,21.61,552.31,2388.47,9231.06,47.28,521.84,2388.54,8115.05,8.57,389.73,38.51,23.62,87.8120407049989
251,642.35,1604.26,1410.0,21.61,550.87,2388.5,9047.46,47.28,519.45,2388.4,8110.11,8.35,397.48,38.16,23.02,93.12653137179741
252,641.47,1582.84,1419.61,21.61,550.93,2387.92,9192.36,47.04,520.01,2388.18,8117.0,8.42,392.63,38.44,23.36,84.26828700006807
253,642.49,1597.4,1404.03,21.61,552.05,2388.25,9192.97,47.64,522.37,2388.51,8144.07,8.54,388.48,38.16,23.51,91.85864423119139
254,641.93,1575.51,1388.7,21.61,556.01,2388.09,9216.34,48.12,520.55,2387.99,8137.82,8.45,394.18,38.89,23.41,89.9101600221208
255,641.74,1615.38,1399.43,21.61,554.94,2388.33,9034.5,47.84,519.23,2388.45,8200.67,8.41,396.16,38.86,23.16,84.06844693907946
256,642.97,1606.66,1409.38,21.61,553.72,2388.2,9227.32,47.68,519.66,2388.1,8226.29,8.43,397.62,38.36,23.61,55.79535595130963
257,642.93,1585.99,1438.58,21.61,555.14,2388.41,9122.44,48.38,520.38,2388.27,8245.58,8.55,398.92,38.7,23.21,25.3217354511752
258,642.11,1615.18,1395.09,21.61,553.59,2388.45,9061.47,47.73,520.27,2388.14,8263.27,8.58,397.47,38.97,23.01,69.59940919442096
259,643.78,1578.45,1410.83,21.61,555.86,2388.12,9132.26,47.56,519.83,2388.46,8291.27,8.58,396.83,39.3,23.2,49.0924900432152
260,641.8,1578.71,1405.28,21.6,555.41,2388.55,9073.78,46.97,521.11,2388.27,8189.04,8.42,394.72,38.46,22.9,91.92269152438466
261,643.59,1572.08,1392.01,21.6,554.49,2387.99,9140.59,47.26,521.29,2388.41,8119.17,8.47,397.27,39.22,23.21,105.14701737094057
262,641.87,1571.58,1418.1,21.61,552.36,2388.23,9150.74,47.92,521.38,2387.94,8140.49,8.33,393.44,39.13,23.1,62.80870280868085
263,642.73,1593.33,1400.36,21.61,554.1,2387.93,9190.0,47.22,520.08,2388.09,8292.79,8.43,398.2,39.13,23.06,69.03054016374774
264,642.17,1615.37,1396.61,21.61,553.29,2388.33,9109.49,47.07,520.03,2388.54,8144.11,8.45,388.03,39.02,23.09,95.96012005704576
265,642.16,1577.4,1426.7,21.61,554.57,2388.19,9165.31,47.72,521.75,2388.52,8259.64,8.49,392.03,39.01,23.2,50.45983564986781
266,643.09,1615.16,1404.92,21.61,555.16,2388.52,9123.39,47.27,519.02,2388.38,8141.98,8.4,390.85,38.42,23.6,101.22809898792248
267,642.88,1594.2,1389.25,21.6,550.45,2388.48,9174.92,48.09,520.54,2388.11,8231.84,8.38,399.87,38.16,23.54,47.37207817989399
268,642.56,1597.76,1432.82,21.61,552.28,2388.37,9183.26,48.27,523.18,2388.42,8214.16,8.37,389.11,39.21,23.18,47.135045278457454
269,641.45,1586.11,1435.48,21.6,553.46,2388.56,9037.05,47.3,522.14,2388.19,8217.92,8.43,396.16,38.91,23.21,95.5044447384038
270,643.11,1571.19,1383.1,21.6,554.76,2388.17,9051.7,47.72,519.88,2387.94,8160.16,8.54,391.19,38.66,23.38,84.87560689394746
271,643.4,1592.86,1441.35,21.61,553.99,2388.28,9144.96,48.08,522.66,2388.08,8138.15,8.44,396.44,39.27,22.93,61.94263553896363
272,641.66,1591.67,1385.62,21.6,555.29,2388.46,9145.53,46.87,520.4,2388.43,8119.67,8.5,395.81,38.61,22.95,80.27084690029764
273,642.27,1572.32,1415.07,21.6,553.49,2388.05,9221.39,47.08,523.17,2388.38,8182.69,8.36,390.38,38.31,22.92,74.19698507530985
274,642.05,1583.26,1410.63,21.6,552.44,2388.13,9056.64,48.48,520.4,2388.23,8251.12,8.45,390.35,38.7,23.5,66.0214039063385
275,642.12,1605.47,1433.32,21.61,550.27,2388.2,9032.5,48.47,521.44,2387.88,8236.86,8.33,389.86,39.31,23.0,62.590272816785394
276,641.82,1578.21,1406.62,21.61,552.74,2388.45,9025.69,47.89,522.44,2388.14,8127.52,8.48,398.18,38.58,22.9,81.85286226245685
277,643.48,1599.13,1427.34,21.61,552.59,2388.45,9243.04,47.67,522.41,2388.27,8195.31,8.45,395.14,38.97,23.19,40.273900733076864
278,643.67,1609.17,1415.47,21.6,552.92,2387.92,9239.86,47.71,521.72,2388.41,8273.31,8.53,392.29,39.1,22.99,39.42944478088015
279,642.43,1590.57,1426.09,21.6,555.88,2388.02,9235.4,48.47,521.83,2388.39,8205.38,8.37,391.02,38.32,23.48,59.38776246900251
280,643.39,1611.34,1420.19,21.6,550.04,2387.99,9075.88,46.86,521.73,2388.49,8252.4,8.47,396.15,38.33,23.1,48.176910336442006
281,643.89,1594.56,1424.37,21.61,553.84,2388.35,9183.94,47.86,521.72,2388.15,8168.38,8.37,394.72,38.92,23.13,48.464599424842866
282,642.43,1583.04,1394.53,21.6,552.82,2388.06,9053.84,48.06,519.84,2388.42,8218.54,8.33,392.0,38.52,23.02,64.26833162382987
283,643.26,1575.57,1423.11,21.6,553.86,2388.12,9024.34,47.48,523.07,2388.33,8249.41,8.4,398.16,38.57,23.54,98.22352896794702
284,641.79,1603.14,1391.33,21.6,554.25,2388.32,9159.85,48.28,520.35,2388.47,8224.81,8.58,398.77,39.4,23.08,41.982552915700296
285,641.46,1598.42,1403.37,21.61,555.6,2387.9,9043.23,48.43,520.45,2387.9,8215.37,8.36,391.79,38.71,23.24,88.15627173179469
286,641.9,1599.4,1392.8,21.6,549.86,2388.49,9243.06,47.89,522.16,2388.12,8194.14,8.42,391.76,38.64,23.16,56.42313971560833
287,643.11,1592.07,1439.06,21.61,551.23,2388.48,9229.01,47.39,522.56,2388.09,8167.57,8.43,393.44,39.0,23.52,66.5131197998905
288,644.3,1611.08,1410.72,21.6,551.3,2388.22,9243.83,47.23,519.17,2388.38,8211.22,8.48,389.45,39.29,23.6,59.341950681063516
289,642.81,1592.1,1407.76,21.6,552.25,2388.33,9094.72,47.38,523.25,2387.98,8220.67,8.41,394.86,38.24,23.61,70.75398067746946
290,642.65,1571.41,1433.18,21.61,550.58,2387.96,9109.99,47.04,520.19,2388.22,8264.78,8.56,389.04,39.39,23.46,54.920368964323536
291,641.41,1591.87,1396.57,21.6,555.41,2388.31,9053.61,47.23,523.13,2387.96,8172.6,8.47,393.25,39.36,23.36,135.81296867904288
292,642.62,1588.48,1420.93,21.6,551.68,2388.41,9105.95,48.01,522.84,2388.35,8136.59,8.52,395.12,38.5,23.41,46.24766795736705
293,642.46,1586.4,1391.77,21.61,554.97,2387.94,9076.6,48.48,520.0,2388.01,8116.08,8.5,397.13,38.81,23.33,80.93714911910045
294,642.56,1614.4,1440.4,21.6,551.28,2388.08,9206.5,47.87,523.23,2388.37,8159.24,8.37,393.39,39.3,23.21,51.17513851191785
295,641.73,1583.66,1427.69,21.6,555.39,2388.29,9104.98,47.08,521.31,2388.32,8164.03,8.49,391.7,38.26,23.01,59.58110951337113
296,644.23,1593.83,1388.67,21.61,553.3,2388.12,9059.09,47.5,523.12,2387.97,8118.98,8.39,391.49,38.85,23.0,143.77074188392152
297,643.61,1603.33,1407.48,21.6,549.98,2388.11,9039.95,47.51,520.84,2388.32,8109.24,8.53,391.39,38.6,23.53,94.30831350608847
298,642.69,1583.24,1404.54,21.61,550.83,2388.51,9220.61,47.4,520.17,2388.45,8189.03,8.43,389.08,39.11,23.59,76.48037597068638
299,642.01,1592.78,1421.69,21.61,555.84,2388.35,9241.24,46.93,519.07,2388.18,8233.0,8.36,390.77,39.39,23.25,70.84133276784243
300,641.58,1590.1,1426.77,21.6,555.87,2388.5,9114.79,48.3,519.79,2388.38,8235.66,8.51,389.77,39.16,23.22,33.549086422814455
301,641.57,1572.44,1436.65,21.61,554.18,2388.48,9124.58,48.0,523.05,2388.25,8124.02,8.48,396.06,38.6,23.32,61.57945434013179
302,641.73,1592.36,1382.27,21.61,555.76,2388.54,9203.97,47.47,522.6,2387.92,8119.68,8.46,396.94,38.46,23.13,100.42853614721133
303,641.84,1587.48,1403.2,21.6,550.68,2387.93,9242.46,47.85,522.12,2388.5,8126.54,8.55,394.41,39.18,23.05,72.30233965164135
304,641.61,1615.37,1422.31,21.6,555.29,2388.31,9041.76,48.01,523.36,2388.51,8244.23,8.35,393.47,38.77,23.15,79.04998492500489
305,643.8,1602.2,1424.02,21.6,554.74,2388.45,9062.47,48.16,520.72,2388.5,8234.93,8.47,397.26,38.44,23.17,27.180460018527903
306,644.47,1587.1,1402.73,21.61,552.77,2388.05,9085.68,47.79,522.98,2388.07,8193.36,8.5,392.56,39.35,23.0,54.92172066013041
307,643.62,1603.9,1431.28,21.6,555.12,2388.31,9082.06,46.9,520.53,2388.36,8283.4,8.35,391.29,39.07,23.13,63.52757149648298
308,643.38,1603.24,1421.93,21.61,552.1,2387.99,9070.77,47.94,521.97,2387.97,8280.44,8.37,397.51,38.54,22.98,43.21518646399436
309,644.33,1572.83,1431.73,21.61,552.78,2388.35,9107.2,48.1,522.05,2388.41,8186.33,8.5,398.38,39.07,23.17,29.440465455868544
310,641.82,1588.15,1387.16,21.61,552.16,2388.19,9243.26,47.84,519.13,2388.35,8240.65,8.33,398.49,38.81,23.14,51.812737995593224
311,644.51,1592.14,1404.51,21.61,551.27,2388.46,9135.83,47.88,521.45,2388.03,8175.13,8.33,398.68,38.47,23.44,57.18623580144964
312,642.11,1591.11,1389.82,21.6,551.66,2388.23,9199.62,47.33,519.12,2388.49,8289.67,8.54,399.0,39.24,23.14,58.794458797270735
313,642.05,1609.85,1429.45,21.61,554.04,2387.92,9127.82,47.16,521.68,2387.92,8180.07,8.33,389.2,38.53,23.1,67.53545193538147
314,644.05,1597.36,1424.66,21.61,555.61,2387.91,9129.31,48.07,520.07,2388.27,8219.54,8.4,392.71,38.83,22.99,33.90878840614166
315,643.63,1607.13,1439.85,21.61,552.43,2388.33,9144.69,48.35,522.59,2388.01,8285.39,8.39,390.58,38.21,23.29,41.53846555286296
316,642.85,1612.9,1389.54,21.6,555.41,2387.93,9070.16,47.49,522.33,2388.23,8284.55,8.43,397.41,38.59,23.57,104.33474772757704
317,644.23,1574.47,1424.53,21.61,553.58,2387.99,9139.75,47.11,518.79,2388.13,8166.26,8.58,395.3,38.86,22.92,45.73576720830005
318,641.73,1573.36,1438.41,21.6,551.46,2388.46,9095.43,47.65,519.73,2387.95,8291.51,8.37,394.0,39.14,23.27,52.508522422731666
319,642.63,1602.41,1417.46,21.6,553.37,2388.03,9081.83,47.01,520.32,2388.08,8188.83,8.5,391.23,38.23,23.07,47.89173251207747
320,642.22,1581.31,1399.92,21.6,552.98,2388.27,9043.06,48.25,518.86,2388.1,8282.39,8.33,393.9,38.71,23.47,79.31463174073444
